"english", "bosnian"
"toy","igračka"
"trace","trag"
"track","staza"
"trade","trgovina"
"tradition","tradicia"
"traditional","tradicionalno"
"traffic","promet"
"tragedy","tragedija"
"trail","suđenje"
"train","vlak"
"training","trening"
"transfer","transfer"
"transform","preobraziti"
"transformation","preobrazba"
"transition","tranzicija"
"translate","prevesti"
"transportation","transport"
"travel","putovati"
"treat","prijetnja"
"treatment","tretman"
"treaty","sporazum, ugovor"
"tree","drvo"
"tremendous","ogroman"
"trend","trend"
"trial","suđenje"
"tribe","pleme"
"trick","trik"
"trip","putovanje"
"troop","četa"
"trouble","nevolja"
"truck","kamion"
"TRUE","istinito"
"truly","istinski"
"trust","vjerovati"
"truth","istina"
"try","probati"
"tube","cijev"
"tunnel","tunel"
"turn","skrenuti, okrenuti"
"TV","televizija, tv"
"twelve","dvanaest"
"twenty","dvadeset"
"twice","dvaput"
"twin","blizanac"
"two","dva"
"type","tip"
"typical","tipično"
"typically","tipično"
"ugly","ružan"
"ultimate","ultimativno"
"ultimately","na kraju"
"unable","nesposoban"
"uncle","ujak"
"under","ispod"
"undergo","iskusiti, pretrpjeti"
"understand","razumjeti"
"understanding","razumjevanje"
"unfortunately","nažalost"
"uniform","uniforma"
"union","unija"
"unique","jedinstvena"
"unit","jedinica"
"United","ujedinjen"
"universal","univerzalno"
"universe","svemir"
"university","sveučilište, univerzitet"
"unknown","nepoznat"
"unless","osim ako"
"unlike","za razliku od"
"unlikely","malo vjerojatno, ne izvjesno"
"until","do"
"unusual","neobično"
"up","gore"
"upon","na, po"
"upper","gornji"
"urban","urbani"
"urge","nagon"
"us","nas"
"use","koristiti"
"used","koristen"
"useful","koristan"
"user","korisnik"
"usual","običan"
"usually","uobičajeno"
"utility","korisnost"
"vacation","odmor"
"valley","dolina"
"valuable","vrijedan"
"value","vrijednost"
"variable","varijabla"
"variation","varijacija"
"variety","raznolikost"
"various","raznovrstan"
"vary","varivati"
"vast","ogromno"
"vegetable","povrće"
"vehicle","vozilo"
"venture","pothvat"
"version","verzija"
"versus","protiv"
"very","vrlo"
"vessel","brod, lađa"
"veteran","veteran"
"via","preko"
"victim","žrtva"
"victory","pobjeda"
"video","video"
"view","pogled"
"viewer","gledatelj"
"village","selo"
"violate","prekršiti"
"violation","prekršaj"
"violence","nasilje"
"violent","nasilan"
"virtually","praktično"
"virtue","vrlina"
"virus","virus"
"visible","vidljiv"
"vision","vizija"
"visit","posjetiti"
"visitor","posjetilac"
"visual","vizuelno"
"vital","vitalan, bitan"
"voice","glas"
"volume","volumen, zapremina, jačina zvuka"
"volunteer","volonter"
"vote","glas"
"voter","glasač"
"vs","vs protiv"
"vulnerable","ranjiv"
"wage","plata"
"wait","čekati"
"wake up","probuditi se"
"walk","šetati"
"wall","zid"
"wander","čuditi se"
"want","željeti"
"war","rat"
"warm","toplo"
"warn","upozoriti"
"warning","upozorenje"
"wash","prati"
"waste","otpad"
"watch","gledati"
"water","voda"
"wave","val"
"way","put"
"we","mi"
"weak","slab"
"wealth","bogatstvo"
"wealthy","bogat"
"weapon","oružje"
"wear","obući, nositi"
"weather","vrijeme"
"wedding","vjenčanje"
"week","tjedan"
"weekend","vikend"
"weekly","tjedni"
"weigh","težina"
"weight","vagati"
"welcome","dobro došli"
"welfare","blagostanje"
"well","dobro"
"west","zapad"
"western","zapadni"
"wet","mokar"
"what","šta"
"whatever","šta god"
"wheel","kotac"
"when","kada"
"whenever","kada"
"where","gdje"
"whereas","dok"
"whether","da li"
"which","koje"
"while","dok"
"whisper","šapat, šaptati"
"white","bijelo"
"who","ko"
"whole","čitav"
"whom","koga, kome"
"whose","čije"
"why","zašto"
"wide","širok"
"widely","široko"
"widespread","raspostranjen"
"wife","supruga"
"wild","divlji"
"will","htjeti"
"willing","spreman"
"win","pobjeda"
"wind","vjetar"
"window","prozor"
"wine","vino"
"wing","krilo"
"winner","pobjednik"
"winter","zima"
"wipe","brisanje"
"wire","žica"
"wisdom","mudrost"
"wise","mudar"
"wish","želja"
"with","sa"
"withdraw","unutar"
"within","unutar"
"without","bez"
"witness","svijedok"
"woman","žena"
"wonder","čudo"
"wonderful","prekrsno"
"wood","drvo"
"wooden","drven"
"word","riječ"
"work","rad, posao"
"worker","radnik"
"working","radni"
"works","radi"
"workshop","radionica"
"world","svijet"
"worried","zabrinut"
"worry","brinuti"
"worth","vijednost"
"would","bi"
"wound","rana"
"wrap","omotati"
"write","pisati"
"writer","pisac"
"writing","pisanje"
"wrong","pogrešno"
"yard","dvorište"
"yeah","da"
"year","godina"
"yell","vikati"
"yellow","žuto"
"yes","da"
"yesterday","juče"
"yet","još"
"yield","prinos, rod, plod"
"you","ti"
"young","mladi"
"your","tvoj"
"yours","vaš"
"yourself","sam"
"youth","omladina"
"zone","zona"
